dataset,worker,prototype,weight
CF,1450,0,0.9424332355691658
CF,1450,1,0.05756676443083415
CF,1454,0,0.18598856782810363
CF,1454,1,0.8140114321718964
CF,1456,0,0.9512891072675052
CF,1456,1,0.04871089273249489
CF,1457,0,0.9445643451933503
CF,1457,1,0.055435654806649824
CF,1462,0,0.9391447613730416
CF,1462,1,0.06085523862695839
CF,1467,0,0.9448012128667408
CF,1467,1,0.055198787133259264
CF,1470,0,0.9513512974700473
CF,1470,1,0.04864870252995257
CF,1471,0,0.9460004590076114
CF,1471,1,0.05399954099238848
CF,1472,0,0.851473398278019
CF,1472,1,0.148526601721981
CF,1474,0,0.07611710032833059
CF,1474,1,0.9238828996716694
CF,1480,0,0.9476582322896974
CF,1480,1,0.05234176771030259
CF,1484,0,0.9417110127431932
CF,1484,1,0.05828898725680686
CF,1486,0,0.9513512974690915
CF,1486,1,0.04864870253090847
CF,1487,0,0.9334523054963774
CF,1487,1,0.06654769450362263
CF,1491,0,0.09977035761527478
CF,1491,1,0.9002296423847252
CF,1502,0,0.9480176882210696
CF,1502,1,0.0519823117789305
CF,1504,0,0.9413893380418286
CF,1504,1,0.05861066195817139
CF,1507,0,0.4042028905929192
CF,1507,1,0.5957971094070809
CF,1511,0,0.9513512974700703
CF,1511,1,0.04864870252992965
CF,1512,0,0.9453703489931853
CF,1512,1,0.05462965100681467
CF,1514,0,0.06414437396837816
CF,1514,1,0.9358556260316218
CF,1519,0,0.939407454171888
CF,1519,1,0.060592545828112014
CF,1527,0,0.9489554218925775
